mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
19.4,8,318.0,140.0,3735.0,13.2,78,1,114
20.2,8,302.0,139.0,3570.0,12.8,78,1,195
19.2,6,231.0,105.0,3535.0,19.2,78,1,249
20.5,6,200.0,95.0,3155.0,18.2,78,1,55
20.2,6,200.0,85.0,2965.0,15.8,78,1,135
25.1,4,140.0,88.0,2720.0,15.4,78,1,136
20.5,6,225.0,100.0,3430.0,17.2,78,1,237
19.4,6,232.0,90.0,3210.0,17.2,78,1,3
20.6,6,231.0,105.0,3380.0,15.8,78,1,28
20.8,6,200.0,85.0,3070.0,16.7,78,1,196
18.6,6,225.0,110.0,3620.0,18.7,78,1,98
18.1,6,258.0,120.0,3410.0,15.1,78,1,4
19.2,8,305.0,145.0,3425.0,13.2,78,1,58
17.7,6,231.0,165.0,3445.0,13.4,78,1,33
18.1,8,302.0,139.0,3205.0,11.2,78,1,140
17.5,8,318.0,140.0,4080.0,13.7,78,1,115
30.0,4,98.0,68.0,2155.0,16.5,78,1,51
27.5,4,134.0,95.0,2560.0,14.2,78,3,271
27.2,4,119.0,97.0,2300.0,14.7,78,3,84
30.9,4,105.0,75.0,2230.0,14.5,78,1,118
21.1,4,134.0,95.0,2515.0,14.8,78,3,265
23.2,4,156.0,105.0,2745.0,16.7,78,1,230
23.8,4,151.0,85.0,2855.0,17.6,78,1,206
23.9,4,119.0,97.0,2405.0,14.9,78,3,77
20.3,5,131.0,103.0,2830.0,15.9,78,2,19
17.0,6,163.0,125.0,3140.0,13.6,78,2,298
21.6,4,121.0,115.0,2795.0,15.7,78,2,259
16.2,6,163.0,133.0,3410.0,15.8,78,2,214
31.5,4,89.0,71.0,1990.0,14.9,78,2,291
29.5,4,98.0,68.0,2135.0,16.6,78,3,166
21.5,6,231.0,115.0,3245.0,15.4,79,1,247
19.8,6,200.0,85.0,2990.0,18.2,79,1,197
22.3,4,140.0,88.0,2890.0,17.3,79,1,137
20.2,6,232.0,90.0,3265.0,18.2,79,1,6
20.6,6,225.0,110.0,3360.0,16.6,79,1,99
17.0,8,305.0,130.0,3840.0,15.4,79,1,44
17.6,8,302.0,129.0,3725.0,13.4,79,1,149
16.5,8,351.0,138.0,3955.0,13.2,79,1,190
18.2,8,318.0,135.0,3830.0,15.2,79,1,120
16.9,8,350.0,155.0,4360.0,14.9,79,1,30
15.5,8,351.0,142.0,4054.0,14.3,79,1,129
19.2,8,267.0,125.0,3605.0,15.0,79,1,56
18.5,8,360.0,150.0,3940.0,13.0,79,1,73
31.9,4,89.0,71.0,1925.0,14.0,79,2,304
34.1,4,86.0,65.0,1975.0,15.2,79,3,173
35.7,4,98.0,80.0,1915.0,14.4,79,1,106
27.4,4,121.0,80.0,2670.0,15.0,79,1,15
25.4,5,183.0,77.0,3530.0,20.1,79,2,184
23.0,8,350.0,125.0,3900.0,17.4,79,1,38
27.2,4,141.0,71.0,3190.0,24.8,79,2,211
23.9,8,260.0,90.0,3420.0,22.2,79,1,201
34.2,4,105.0,70.0,2200.0,13.2,79,1,225
34.5,4,105.0,70.0,2150.0,14.9,79,1,228
31.8,4,85.0,65.0,2020.0,19.2,79,3,79
37.3,4,91.0,69.0,2130.0,14.7,79,2,126
28.4,4,151.0,90.0,2670.0,16.0,79,1,37
28.8,6,173.0,115.0,2595.0,11.3,79,1,52
26.8,6,173.0,115.0,2700.0,12.9,79,1,205
33.5,4,151.0,90.0,2556.0,13.2,79,1,248
41.5,4,98.0,76.0,2144.0,14.7,80,2,302
38.1,4,89.0,60.0,1968.0,18.8,80,3,270
32.1,4,98.0,70.0,2120.0,15.5,80,1,51
37.2,4,86.0,65.0,2019.0,16.4,80,3,82
28.0,4,151.0,90.0,2678.0,16.5,80,1,52
26.4,4,140.0,88.0,2870.0,18.1,80,1,134
24.3,4,151.0,90.0,3003.0,20.1,80,1,3
19.1,6,225.0,90.0,3381.0,18.7,80,1,98
34.3,4,97.0,78.0,2188.0,15.8,80,2,18
29.8,4,134.0,90.0,2711.0,15.5,80,3,273
31.3,4,120.0,75.0,2542.0,17.5,80,3,175
37.0,4,119.0,92.0,2434.0,15.0,80,3,86
32.2,4,108.0,75.0,2265.0,15.2,80,3,266
46.6,4,86.0,65.0,2110.0,17.9,80,3,176
27.9,4,156.0,105.0,2800.0,14.4,80,1,103
40.8,4,85.0,65.0,2110.0,19.2,80,3,79
44.3,4,90.0,48.0,2085.0,21.7,80,2,303
43.4,4,90.0,48.0,2335.0,23.7,80,2,300
36.4,5,121.0,67.0,2950.0,19.9,80,2,20
30.0,4,146.0,67.0,3250.0,21.8,80,2,185
44.6,4,91.0,67.0,1850.0,13.8,80,3,170
33.8,4,97.0,67.0,2145.0,18.0,80,3,262
29.8,4,89.0,62.0,1845.0,15.3,80,2,281
32.7,6,168.0,132.0,2910.0,11.4,80,3,81
23.7,3,70.0,100.0,2420.0,12.5,80,3,182
35.0,4,122.0,88.0,2500.0,15.1,80,2,280
32.4,4,107.0,72.0,2290.0,17.0,80,3,164
27.2,4,135.0,84.0,2490.0,15.7,81,1,229
26.6,4,151.0,84.0,2635.0,16.4,81,1,35
25.8,4,156.0,92.0,2620.0,14.4,81,1,97
23.5,6,173.0,110.0,2725.0,12.6,81,1,52
30.0,4,135.0,84.0,2385.0,12.9,81,1,229
39.1,4,79.0,58.0,1755.0,16.9,81,3,277
39.0,4,86.0,64.0,1875.0,16.4,81,1,217
35.1,4,81.0,60.0,1760.0,16.1,81,3,169
32.3,4,97.0,67.0,2065.0,17.8,81,3,261
37.0,4,85.0,65.0,1975.0,19.4,81,3,80
37.7,4,89.0,62.0,2050.0,17.3,81,3,278
34.1,4,91.0,68.0,1985.0,16.0,81,3,177
34.7,4,105.0,63.0,2215.0,14.9,81,1,226
34.4,4,98.0,65.0,2045.0,16.2,81,1,131
29.9,4,98.0,65.0,2380.0,20.7,81,1,130
33.0,4,105.0,74.0,2190.0,14.2,81,2,285
33.7,4,107.0,75.0,2210.0,14.4,81,3,172
32.4,4,108.0,75.0,2350.0,16.8,81,3,266
32.9,4,119.0,100.0,2615.0,14.8,81,3,78
31.6,4,120.0,74.0,2635.0,18.3,81,3,175
28.1,4,141.0,80.0,3230.0,20.4,81,2,213
30.7,6,145.0,76.0,3160.0,19.6,81,2,299
25.4,6,168.0,116.0,2900.0,12.6,81,3,275
24.2,6,146.0,120.0,2930.0,13.8,81,3,90
22.4,6,231.0,110.0,3415.0,15.8,81,1,24
26.6,8,350.0,105.0,3725.0,19.0,81,1,200
20.2,6,200.0,88.0,3060.0,17.1,81,1,146
17.6,6,225.0,85.0,3465.0,16.6,81,1,72
28.0,4,112.0,88.0,2605.0,19.6,82,1,45
27.0,4,112.0,88.0,2640.0,18.6,82,1,47
34.0,4,112.0,88.0,2395.0,18.0,82,1,46
31.0,4,112.0,85.0,2575.0,16.2,82,1,246
29.0,4,135.0,84.0,2525.0,16.0,82,1,96
27.0,4,151.0,90.0,2735.0,18.0,82,1,248
24.0,4,140.0,92.0,2865.0,16.4,82,1,138
36.0,4,105.0,74.0,1980.0,15.3,82,2,290
37.0,4,91.0,68.0,2025.0,18.2,82,3,179
31.0,4,91.0,68.0,1970.0,17.6,82,3,178
38.0,4,105.0,63.0,2125.0,14.7,82,1,227
36.0,4,98.0,70.0,2125.0,17.3,82,1,191
36.0,4,120.0,88.0,2160.0,14.5,82,3,198
36.0,4,107.0,75.0,2205.0,14.5,82,3,164
34.0,4,108.0,70.0,2245.0,16.9,82,3,266
38.0,4,91.0,67.0,1965.0,15.0,82,3,167
32.0,4,91.0,67.0,1965.0,15.7,82,3,168
38.0,4,91.0,67.0,1995.0,16.2,82,3,83
25.0,6,181.0,110.0,2945.0,16.4,82,1,26
38.0,6,262.0,85.0,3015.0,17.0,82,1,199
26.0,4,156.0,92.0,2585.0,14.5,82,1,71
22.0,6,232.0,112.0,2835.0,14.7,82,1,147
32.0,4,144.0,96.0,2665.0,13.9,82,3,264
36.0,4,135.0,84.0,2370.0,13.0,82,1,102
27.0,4,151.0,90.0,2950.0,17.3,82,1,43
27.0,4,140.0,86.0,2790.0,15.6,82,1,153
44.0,4,97.0,52.0,2130.0,24.6,82,2,301
32.0,4,135.0,84.0,2295.0,11.6,82,1,119
28.0,4,120.0,79.0,2625.0,18.6,82,1,159
31.0,4,119.0,82.0,2720.0,19.4,82,1,69
