pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
158.0,-9,-5.0,1025.0,SE,31.73,0,0
154.0,-9,-5.0,1025.0,SE,35.75,0,0
159.0,-9,-5.0,1026.0,SE,37.54,0,0
164.0,-8,-5.0,1027.0,SE,39.33,0,0
170.0,-8,-5.0,1027.0,SE,42.46,0,0
149.0,-8,-5.0,1028.0,SE,44.25,0,0
154.0,-7,-5.0,1028.0,SE,46.04,0,0
164.0,-7,-5.0,1027.0,SE,49.17,1,0
156.0,-8,-6.0,1028.0,SE,52.3,2,0
126.0,-8,-6.0,1027.0,SE,55.43,3,0
90.0,-7,-6.0,1027.0,SE,58.56,4,0
63.0,-8,-6.0,1026.0,SE,61.69,5,0
65.0,-8,-7.0,1026.0,SE,65.71,6,0
55.0,-8,-7.0,1025.0,SE,68.84,7,0
65.0,-8,-7.0,1024.0,SE,72.86,8,0
83.0,-9,-8.0,1024.0,SE,76.88,9,0
91.0,-10,-8.0,1024.0,SE,80.9,10,0
86.0,-10,-9.0,1024.0,SE,84.92,11,0
82.0,-10,-9.0,1024.0,SE,89.84,12,0
86.0,-11,-9.0,1023.0,SE,93.86,13,0
78.0,-11,-9.0,1023.0,SE,97.88,15,0
98.0,-11,-9.0,1022.0,SE,102.8,16,0
107.0,-11,-9.0,1021.0,SE,105.93,17,0
90.0,-11,-9.0,1020.0,SE,111.74,19,0
96.0,-11,-9.0,1020.0,SE,116.66,20,0
95.0,-11,-9.0,1020.0,SE,121.58,21,0
86.0,-11,-9.0,1020.0,SE,124.71,22,0
70.0,-11,-9.0,1020.0,SE,127.84,23,0
61.0,-11,-9.0,1021.0,cv,0.89,24,0
53.0,-11,-9.0,1022.0,cv,1.78,25,0
71.0,-10,-9.0,1022.0,NW,4.02,26,0
72.0,-11,-10.0,1023.0,NW,7.15,27,0
76.0,-11,-9.0,1023.0,NW,11.17,0,0
73.0,-12,-11.0,1023.0,NW,14.3,0,0
79.0,-14,-12.0,1023.0,NW,16.09,0,0
58.0,-16,-9.0,1023.0,NW,21.9,0,0
25.0,-17,-10.0,1024.0,NW,29.95,0,0
26.0,-18,-11.0,1024.0,NW,39.78,0,0
28.0,-19,-11.0,1025.0,NW,48.72,0,0
26.0,-20,-12.0,1026.0,NW,55.87,0,0
20.0,-21,-12.0,1027.0,NW,64.81,0,0
29.0,-21,-13.0,1027.0,NW,73.75,0,0
26.0,-22,-13.0,1028.0,NW,80.9,0,0
27.0,-22,-13.0,1029.0,NW,90.73,0,0
27.0,-22,-12.0,1030.0,NW,100.56,0,0
25.0,-23,-12.0,1031.0,NW,108.61,0,0
29.0,-21,-11.0,1030.0,NW,117.55,0,0
32.0,-20,-10.0,1030.0,NW,127.38,0,0
28.0,-21,-10.0,1030.0,NW,136.32,0,0
29.0,-21,-9.0,1030.0,NW,145.26,0,0
30.0,-21,-9.0,1031.0,NW,152.41,0,0
30.0,-20,-11.0,1032.0,NW,159.56,0,0
28.0,-23,-11.0,1032.0,NW,165.37,0,0
26.0,-21,-12.0,1033.0,NW,171.18,0,0
31.0,-24,-12.0,1034.0,NW,180.12,0,0
33.0,-24,-13.0,1034.0,NW,187.27,0,0
29.0,-24,-13.0,1035.0,NW,195.32,0,0
31.0,-26,-15.0,1035.0,NW,198.45,0,0
30.0,-26,-17.0,1035.0,NW,201.58,0,0
34.0,-26,-18.0,1035.0,NW,205.6,0,0
27.0,-26,-19.0,1035.0,NW,208.73,0,0
25.0,-27,-18.0,1035.0,NW,213.65,0,0
28.0,-27,-19.0,1035.0,NW,218.57,0,0
28.0,-27,-16.0,1034.0,NE,4.92,0,0
27.0,-26,-16.0,1035.0,NE,8.05,0,0
27.0,-27,-16.0,1034.0,NE,13.86,0,0
27.0,-26,-16.0,1035.0,NE,18.78,0,0
29.0,-26,-15.0,1035.0,NE,24.59,0,0
36.0,-25,-14.0,1035.0,NE,29.51,0,0
30.0,-25,-13.0,1035.0,NE,34.43,0,0
27.0,-25,-12.0,1034.0,NE,39.35,0,0
39.0,-24,-11.0,1032.0,NE,41.14,0,0
41.0,-22,-11.0,1032.0,cv,0.89,0,0
33.0,-23,-11.0,1031.0,NW,1.79,0,0
50.0,-24,-11.0,1031.0,NW,3.58,0,0
56.0,-23,-11.0,1031.0,NW,5.37,0,0
59.0,-23,-11.0,1032.0,NW,7.16,0,0
60.0,-22,-13.0,1033.0,NW,10.29,0,0
84.0,-22,-12.0,1033.0,NW,13.42,0,0
106.0,-24,-18.0,1033.0,NW,16.55,0,0
66.0,-22,-13.0,1034.0,NW,20.57,0,0
50.0,-22,-16.0,1033.0,NW,23.7,0,0
56.0,-25,-17.0,1033.0,NW,26.83,0,0
77.0,-25,-14.0,1033.0,NE,4.02,0,0
50.0,-26,-14.0,1034.0,NE,8.04,0,0
44.0,-26,-14.0,1033.0,NE,13.85,0,0
27.0,-26,-14.0,1033.0,NE,17.87,0,0
28.0,-26,-14.0,1033.0,NE,23.68,0,0
21.0,-26,-14.0,1033.0,NE,28.6,0,0
25.0,-26,-15.0,1034.0,NE,33.52,0,0
20.0,-26,-14.0,1034.0,NE,39.33,0,0
29.0,-25,-13.0,1035.0,NE,44.25,0,0
34.0,-25,-12.0,1035.0,NE,50.06,0,0
42.0,-24,-11.0,1035.0,NE,54.98,0,0
28.0,-24,-10.0,1034.0,NE,59.0,0,0
36.0,-22,-10.0,1033.0,NW,4.02,0,0
48.0,-22,-9.0,1033.0,NW,5.81,0,0
49.0,-22,-8.0,1033.0,cv,0.89,0,0
52.0,-22,-8.0,1033.0,NW,1.79,0,0
56.0,-21,-9.0,1033.0,NW,3.58,0,0
96.0,-22,-9.0,1033.0,NW,5.37,0,0
75.0,-22,-14.0,1034.0,cv,0.89,0,0
105.0,-22,-12.0,1035.0,NW,1.79,0,0
132.0,-21,-14.0,1034.0,NW,3.58,0,0
93.0,-22,-16.0,1035.0,NW,5.37,0,0
131.0,-21,-16.0,1035.0,NW,7.16,0,0
127.0,-21,-16.0,1035.0,NW,8.95,0,0
130.0,-21,-16.0,1035.0,cv,0.45,0,0
43.0,-22,-18.0,1036.0,cv,1.34,0,0
37.0,-23,-15.0,1036.0,NW,4.02,0,0
30.0,-24,-16.0,1035.0,NW,7.15,0,0
28.0,-25,-15.0,1035.0,NW,10.28,0,0
24.0,-24,-15.0,1035.0,NW,14.3,0,0
23.0,-25,-13.0,1036.0,NE,4.92,0,0
24.0,-24,-14.0,1036.0,NW,4.02,0,0
27.0,-23,-12.0,1036.0,NW,8.94,0,0
40.0,-22,-11.0,1036.0,NW,12.96,0,0
42.0,-20,-10.0,1036.0,NW,16.09,0,0
42.0,-21,-9.0,1035.0,NW,19.22,0,0
55.0,-21,-8.0,1034.0,NW,21.01,0,0
52.0,-20,-7.0,1033.0,NW,22.8,0,0
51.0,-20,-7.0,1032.0,NW,24.59,0,0
57.0,-18,-8.0,1032.0,NW,26.38,0,0
50.0,-19,-9.0,1032.0,NW,28.17,0,0
54.0,-19,-11.0,1032.0,NE,0.89,0,0
67.0,-18,-11.0,1033.0,NW,1.79,0,0
106.0,-19,-15.0,1032.0,NE,1.79,0,0
159.0,-19,-14.0,1032.0,cv,0.45,0,0
198.0,-21,-14.0,1032.0,cv,1.34,0,0
190.0,-21,-16.0,1032.0,cv,2.23,0,0
210.0,-21,-17.0,1031.0,NW,1.79,0,0
195.0,-19,-16.0,1031.0,NW,3.58,0,0
275.0,-20,-16.0,1031.0,NE,0.89,0,0
164.0,-19,-15.0,1030.0,SE,0.89,0,0
110.0,-18,-15.0,1030.0,cv,0.45,0,0
100.0,-18,-15.0,1029.0,cv,1.34,0,0
81.0,-18,-15.0,1029.0,NW,1.79,0,0
71.0,-16,-13.0,1029.0,NE,0.89,0,0
66.0,-16,-12.0,1029.0,SE,0.89,0,0
92.0,-16,-12.0,1030.0,SE,1.78,0,0
135.0,-17,-10.0,1030.0,NE,0.89,0,0
155.0,-16,-10.0,1029.0,cv,0.89,0,0
198.0,-16,-9.0,1028.0,SE,3.13,0,0
250.0,-15,-8.0,1026.0,SE,4.92,0,0
200.0,-16,-8.0,1026.0,cv,0.89,0,0
231.0,-16,-8.0,1025.0,cv,1.78,0,0
250.0,-16,-8.0,1025.0,cv,2.67,0,0
212.0,-17,-8.0,1025.0,SE,0.89,0,0
219.0,-17,-9.0,1026.0,cv,0.45,0,0
227.0,-17,-11.0,1026.0,cv,1.34,0,0
226.0,-17,-12.0,1026.0,cv,1.79,0,0
225.0,-18,-14.0,1027.0,NW,1.79,0,0
168.0,-16,-9.0,1027.0,NW,4.92,0,0
169.0,-16,-11.0,1027.0,NW,6.71,0,0
165.0,-17,-13.0,1027.0,cv,0.89,0,0
159.0,-17,-13.0,1027.0,NW,3.13,0,0
167.0,-17,-14.0,1027.0,NW,4.92,0,0
196.0,-17,-15.0,1027.0,NW,8.05,0,0
169.0,-17,-13.0,1027.0,NW,9.84,0,0
155.0,-19,-16.0,1027.0,NW,13.86,0,0
119.0,-18,-15.0,1027.0,NW,17.88,0,0
106.0,-19,-15.0,1027.0,NW,21.9,0,0
93.0,-18,-14.0,1028.0,NW,25.92,0,0
84.0,-18,-9.0,1029.0,NE,5.81,0,0
73.0,-17,-7.0,1029.0,NE,11.62,0,0
66.0,-17,-6.0,1030.0,NE,17.43,0,0
40.0,-16,-6.0,1029.0,NE,23.24,0,0
49.0,-16,-5.0,1029.0,NE,28.16,0,0
50.0,-15,-4.0,1029.0,NE,33.08,0,0
49.0,-14,-4.0,1028.0,NE,37.1,0,0
41.0,-15,-4.0,1029.0,NE,38.89,0,0
37.0,-15,-4.0,1030.0,NW,1.79,0,0
45.0,-15,-7.0,1030.0,NE,3.13,0,0
44.0,-15,-6.0,1031.0,NW,3.13,0,0
54.0,-15,-7.0,1032.0,NW,4.92,0,0
50.0,-15,-6.0,1032.0,NE,3.13,0,0
47.0,-15,-8.0,1033.0,cv,0.45,0,0
66.0,-15,-8.0,1033.0,cv,0.9,0,0
75.0,-15,-11.0,1033.0,NW,0.89,0,0
82.0,-17,-13.0,1033.0,NW,1.78,0,0
66.0,-17,-12.0,1033.0,NW,4.91,0,0
83.0,-17,-13.0,1033.0,NW,8.04,0,0
62.0,-19,-14.0,1032.0,NW,9.83,0,0
40.0,-18,-13.0,1032.0,NW,12.96,0,0
23.0,-19,-13.0,1032.0,NW,16.09,0,0
25.0,-19,-14.0,1033.0,NW,19.22,0,0
27.0,-19,-14.0,1034.0,NW,22.35,0,0
35.0,-17,-12.0,1033.0,NW,24.14,0,0
50.0,-16,-7.0,1033.0,NE,4.02,0,0
70.0,-15,-7.0,1033.0,NW,3.13,0,0
75.0,-15,-7.0,1032.0,NW,6.26,0,0
58.0,-14,-6.0,1031.0,NW,9.39,0,0
70.0,-14,-6.0,1031.0,NW,12.52,0,0
68.0,-13,-5.0,1030.0,NW,14.31,0,0
71.0,-14,-5.0,1031.0,NW,16.1,0,0
88.0,-14,-6.0,1031.0,NW,19.23,0,0
84.0,-13,-7.0,1032.0,NW,23.25,0,0
83.0,-15,-6.0,1032.0,NW,27.27,0,0
66.0,-15,-6.0,1033.0,NW,30.4,0,0
27.0,-15,-4.0,1034.0,NW,35.32,0,0
24.0,-16,-4.0,1034.0,NW,44.26,0,0
22.0,-17,-5.0,1035.0,NW,52.31,0,0
23.0,-17,-6.0,1035.0,NW,60.36,0,0
27.0,-17,-8.0,1035.0,cv,0.89,0,0
23.0,-19,-11.0,1036.0,NW,4.02,0,0
17.0,-20,-11.0,1036.0,NW,8.94,0,0
17.0,-21,-11.0,1035.0,NE,4.02,0,0
16.0,-22,-12.0,1035.0,NW,3.13,0,0
16.0,-22,-12.0,1035.0,NE,4.92,0,0
20.0,-22,-13.0,1036.0,NW,5.81,0,0
20.0,-22,-9.0,1036.0,NW,13.86,0,0
18.0,-22,-10.0,1036.0,NW,21.91,0,0
25.0,-22,-9.0,1036.0,NW,29.06,0,0
26.0,-21,-9.0,1036.0,NW,33.08,0,0
27.0,-20,-6.0,1035.0,NW,42.02,0,0
28.0,-19,-5.0,1034.0,NW,50.96,0,0
15.0,-19,-5.0,1033.0,NW,59.01,0,0
24.0,-20,-5.0,1033.0,NW,66.16,0,0
13.0,-20,-5.0,1032.0,NW,71.97,0,0
13.0,-20,-5.0,1033.0,NW,76.89,0,0
13.0,-20,-7.0,1033.0,NW,81.81,0,0
17.0,-22,-7.0,1033.0,NW,85.83,0,0
20.0,-22,-8.0,1033.0,NW,89.85,0,0
27.0,-23,-10.0,1033.0,NW,91.64,0,0
20.0,-23,-13.0,1033.0,NW,93.43,0,0
15.0,-22,-12.0,1032.0,cv,0.89,0,0
21.0,-22,-15.0,1031.0,cv,1.78,0,0
21.0,-22,-14.0,1031.0,NE,1.79,0,0
37.0,-22,-14.0,1031.0,NW,0.89,0,0
26.0,-24,-18.0,1030.0,NE,1.79,0,0
15.0,-24,-13.0,1030.0,NE,3.58,0,0
9.0,-25,-14.0,1030.0,NW,3.13,0,0
11.0,-24,-14.0,1030.0,NW,7.15,0,0
11.0,-25,-12.0,1030.0,NW,12.96,0,0
16.0,-26,-14.0,1030.0,NW,16.98,0,0
13.0,-25,-12.0,1031.0,NW,21.0,0,0
15.0,-25,-11.0,1031.0,NW,26.81,0,0
21.0,-24,-11.0,1030.0,NW,35.75,0,0
24.0,-23,-11.0,1029.0,NW,47.82,0,0
22.0,-22,-11.0,1029.0,NW,63.02,0,0
22.0,-23,-11.0,1029.0,NW,75.98,0,0
22.0,-22,-11.0,1029.0,NW,88.05,0,0
19.0,-23,-11.0,1030.0,NW,101.01,0,0
23.0,-24,-11.0,1030.0,NW,109.06,0,0
25.0,-24,-11.0,1032.0,NW,118.0,0,0
25.0,-23,-11.0,1032.0,NW,126.05,0,0
31.0,-23,-12.0,1032.0,NW,134.1,0,0
25.0,-24,-12.0,1033.0,NW,142.15,0,0
22.0,-23,-12.0,1033.0,NW,150.2,0,0
22.0,-23,-12.0,1034.0,NW,160.03,0,0
15.0,-24,-12.0,1034.0,NW,169.86,0,0
16.0,-24,-12.0,1033.0,NW,178.8,0,0
11.0,-25,-12.0,1033.0,NW,189.98,0,0
11.0,-24,-13.0,1033.0,NW,198.03,0,0
12.0,-25,-12.0,1032.0,NW,205.18,0,0
11.0,-25,-12.0,1033.0,NW,215.01,0,0
12.0,-25,-12.0,1032.0,NW,226.19,0,0
27.0,-25,-12.0,1032.0,NW,235.13,0,0
28.0,-25,-12.0,1032.0,NW,243.18,0,0
34.0,-23,-11.0,1033.0,NW,252.12,0,0
33.0,-23,-10.0,1033.0,NW,257.93,0,0
36.0,-22,-9.0,1033.0,NW,263.74,0,0
26.0,-21,-8.0,1031.0,NW,270.89,0,0
49.0,-21,-6.0,1030.0,NW,278.94,0,0
52.0,-20,-5.0,1029.0,NW,286.99,0,0
47.0,-22,-5.0,1028.0,NW,294.14,0,0
47.0,-21,-5.0,1028.0,NW,299.06,0,0
39.0,-19,-7.0,1028.0,SE,1.79,0,0
59.0,-19,-8.0,1028.0,cv,0.45,0,0
76.0,-20,-9.0,1028.0,cv,1.34,0,0
96.0,-19,-10.0,1027.0,SE,1.79,0,0
95.0,-19,-13.0,1027.0,cv,0.89,0,0
68.0,-18,-12.0,1027.0,cv,1.78,0,0
65.0,-18,-13.0,1027.0,NE,0.89,0,0
75.0,-18,-14.0,1026.0,NE,1.78,0,0
257.0,-20,-15.0,1025.0,NE,2.67,0,0
174.0,-20,-15.0,1025.0,NW,0.89,0,0
164.0,-20,-16.0,1025.0,NW,1.78,0,0
161.0,-20,-16.0,1024.0,NW,3.57,0,0
137.0,-21,-17.0,1024.0,NW,6.7,0,0
92.0,-19,-14.0,1023.0,NW,10.72,0,0
64.0,-21,-17.0,1023.0,NW,13.85,0,0
87.0,-19,-15.0,1024.0,NW,15.64,0,0
87.0,-19,-14.0,1024.0,NW,18.77,0,0
84.0,-18,-10.0,1024.0,NW,22.79,0,0
95.0,-17,-9.0,1023.0,NW,24.58,0,0
79.0,-16,-6.0,1023.0,NW,26.37,0,0
75.0,-17,-5.0,1022.0,NW,28.16,0,0
79.0,-16,-5.0,1022.0,NW,29.95,0,0
86.0,-15,-4.0,1022.0,NW,33.08,0,0
72.0,-16,-4.0,1023.0,cv,0.89,0,0
89.0,-15,-5.0,1025.0,SE,1.79,0,0
94.0,-14,-3.0,1026.0,NW,5.81,0,0
69.0,-16,-3.0,1027.0,NW,11.62,0,0
49.0,-15,-4.0,1029.0,NW,20.56,0,0
33.0,-16,-5.0,1031.0,NW,24.58,0,0
27.0,-17,-6.0,1032.0,NE,3.13,0,0
20.0,-18,-6.0,1033.0,NE,8.05,0,0
36.0,-19,-7.0,1034.0,NE,13.86,0,0
37.0,-17,-8.0,1035.0,NW,5.81,0,0
30.0,-18,-10.0,1035.0,NW,11.62,0,0
18.0,-19,-10.0,1036.0,NW,14.75,0,0
21.0,-19,-9.0,1036.0,NW,19.67,0,0
13.0,-19,-9.0,1036.0,NE,7.15,0,0
23.0,-20,-9.0,1037.0,NE,12.96,0,0
26.0,-19,-9.0,1037.0,NE,18.77,0,0
27.0,-19,-8.0,1038.0,NE,22.79,0,0
30.0,-19,-8.0,1039.0,NE,28.6,0,0
28.0,-19,-7.0,1039.0,NE,35.75,0,0
26.0,-18,-6.0,1039.0,NE,41.56,0,0
26.0,-18,-5.0,1039.0,NE,45.58,0,0
31.0,-17,-4.0,1038.0,NW,1.79,0,0
35.0,-16,-3.0,1037.0,cv,0.89,0,0
36.0,-17,-3.0,1037.0,cv,1.78,0,0
37.0,-17,-2.0,1037.0,cv,2.23,0,0
64.0,-15,-5.0,1036.0,SE,0.89,0,0
83.0,-15,-6.0,1036.0,cv,0.89,0,0
91.0,-15,-6.0,1037.0,cv,1.78,0,0
90.0,-14,-6.0,1037.0,SE,1.79,0,0
102.0,-14,-8.0,1036.0,SE,3.58,0,0
94.0,-14,-10.0,1037.0,cv,0.89,0,0
87.0,-15,-11.0,1036.0,cv,1.78,0,0
141.0,-15,-11.0,1036.0,cv,2.67,0,0
211.0,-16,-13.0,1036.0,NE,0.89,0,0
242.0,-16,-12.0,1036.0,cv,0.89,0,0
271.0,-16,-13.0,1035.0,NE,0.89,0,0
249.0,-15,-12.0,1035.0,NE,1.78,0,0
200.0,-14,-10.0,1034.0,NW,1.79,0,0
147.0,-15,-10.0,1034.0,NW,2.68,0,0
114.0,-15,-11.0,1034.0,NW,4.47,0,0
102.0,-15,-11.0,1034.0,NW,6.26,0,0
108.0,-14,-9.0,1034.0,NW,8.05,0,0
135.0,-14,-9.0,1034.0,NW,9.84,0,0
120.0,-13,-6.0,1034.0,cv,0.89,0,0
148.0,-13,-5.0,1033.0,NW,1.79,0,0
127.0,-12,-4.0,1031.0,cv,0.89,0,0
128.0,-12,-3.0,1031.0,cv,1.78,0,0
140.0,-12,-3.0,1030.0,cv,2.67,0,0
148.0,-11,-3.0,1030.0,cv,3.56,0,0
150.0,-11,-4.0,1031.0,NE,0.89,0,0
154.0,-12,-7.0,1031.0,cv,0.89,0,0
197.0,-12,-7.0,1032.0,cv,1.78,0,0
235.0,-12,-8.0,1032.0,cv,2.23,0,0
261.0,-12,-9.0,1032.0,cv,3.12,0,0
269.0,-13,-11.0,1032.0,NW,0.89,0,0
266.0,-14,-11.0,1032.0,NW,2.68,0,0
263.0,-15,-12.0,1032.0,NW,5.81,0,0
241.0,-14,-11.0,1032.0,cv,0.45,0,0
205.0,-14,-11.0,1031.0,cv,1.34,0,0
160.0,-14,-12.0,1031.0,NW,1.79,0,0
150.0,-14,-12.0,1031.0,NW,3.58,0,0
148.0,-14,-10.0,1030.0,NW,6.71,0,0
208.0,-14,-11.0,1030.0,NW,9.84,0,0
209.0,-15,-10.0,1030.0,NW,11.63,0,0
183.0,-13,-10.0,1030.0,NW,14.76,0,0
161.0,-13,-8.0,1030.0,NW,17.89,0,0
182.0,-12,-6.0,1030.0,cv,0.45,0,0
230.0,-11,-5.0,1030.0,cv,1.34,0,0
170.0,-11,-4.0,1029.0,cv,2.23,0,0
172.0,-11,-3.0,1028.0,cv,3.12,0,0
154.0,-10,-1.0,1027.0,cv,4.01,0,0
166.0,-11,-1.0,1027.0,cv,4.46,0,0
177.0,-10,-1.0,1026.0,SE,0.89,0,0
191.0,-10,-3.0,1026.0,SE,1.78,0,0
212.0,-10,-5.0,1027.0,SE,2.67,0,0
250.0,-10,-6.0,1027.0,NE,0.89,0,0
268.0,-11,-7.0,1027.0,cv,0.45,0,0
317.0,-10,-7.0,1027.0,cv,0.9,0,0
291.0,-11,-9.0,1027.0,cv,1.35,0,0
313.0,-12,-9.0,1027.0,NE,0.89,0,0
282.0,-12,-10.0,1028.0,cv,0.89,0,0
282.0,-13,-11.0,1028.0,NW,3.13,0,0
303.0,-11,-9.0,1028.0,NW,4.92,0,0
349.0,-13,-10.0,1028.0,NW,6.71,0,0
407.0,-13,-11.0,1028.0,NW,7.6,0,0
361.0,-13,-11.0,1027.0,NE,1.79,0,0
234.0,-14,-11.0,1028.0,NW,0.89,0,0
149.0,-14,-11.0,1028.0,NW,4.02,0,0
147.0,-14,-11.0,1028.0,NW,5.81,0,0
184.0,-11,-6.0,1028.0,NW,9.83,0,0
161.0,-10,-5.0,1028.0,NW,11.62,0,0
137.0,-9,-3.0,1028.0,NW,13.41,0,0
146.0,-8,-1.0,1027.0,NW,15.2,0,0
144.0,-9,0.0,1026.0,NW,16.99,0,0
154.0,-9,1.0,1025.0,NE,1.79,0,0
173.0,-9,1.0,1025.0,cv,0.89,0,0
188.0,-8,1.0,1025.0,SE,0.89,0,0
203.0,-7,-1.0,1025.0,SE,2.68,0,0
233.0,-7,-2.0,1025.0,cv,0.89,0,0
408.0,-7,-3.0,1025.0,SE,0.89,0,0
435.0,-5,-2.0,1026.0,cv,0.89,0,0
403.0,-5,-1.0,1026.0,NW,1.79,0,0
360.0,-5,-1.0,1026.0,NW,3.58,0,0
402.0,-6,-1.0,1026.0,cv,0.89,0,0
358.0,-4,-1.0,1025.0,NW,1.79,0,0
383.0,-5,-1.0,1024.0,NW,4.92,0,0
332.0,-5,-1.0,1024.0,NW,6.71,0,0
274.0,-5,-1.0,1023.0,NW,8.5,0,0
256.0,-4,-1.0,1022.0,NW,10.29,0,0
302.0,-4,-1.0,1021.0,NW,11.18,0,0
330.0,-4,-1.0,1021.0,NW,12.07,0,0
367.0,-4,-1.0,1021.0,NW,13.86,0,0
297.0,-4,0.0,1021.0,cv,0.89,0,0
331.0,-4,0.0,1021.0,NW,1.79,0,0
323.0,-4,0.0,1021.0,cv,0.89,0,0
339.0,-5,1.0,1021.0,NW,1.79,0,0
301.0,-5,1.0,1020.0,cv,0.89,0,0
310.0,-4,1.0,1019.0,cv,1.34,0,0
305.0,-4,1.0,1018.0,NE,0.89,0,0
313.0,-3,2.0,1018.0,cv,0.45,0,0
336.0,-3,2.0,1018.0,cv,1.34,0,0
357.0,-2,2.0,1018.0,NE,0.89,0,0
485.0,-3,1.0,1018.0,cv,0.89,0,0
426.0,-3,2.0,1020.0,NW,1.79,0,0
403.0,-3,1.0,1020.0,NW,4.92,0,0
374.0,-3,0.0,1021.0,NW,6.71,0,0
333.0,-3,0.0,1021.0,NW,8.5,0,0
343.0,-3,1.0,1020.0,NW,11.63,0,0
364.0,-2,0.0,1021.0,NW,14.76,0,0
389.0,-2,-1.0,1022.0,NW,16.55,0,0
368.0,-4,-2.0,1022.0,NW,19.68,0,0
267.0,-2,-1.0,1023.0,NW,25.49,0,0
71.0,-3,1.0,1023.0,NW,28.62,0,0
81.0,-3,0.0,1024.0,NW,31.75,0,0
51.0,-5,2.0,1026.0,NW,36.67,0,0
49.0,-9,1.0,1027.0,NW,41.59,0,0
44.0,-10,0.0,1028.0,NW,48.74,0,0
45.0,-10,0.0,1030.0,NW,55.89,0,0
35.0,-11,1.0,1032.0,NW,63.04,0,0
29.0,-13,0.0,1033.0,NW,71.09,0,0
27.0,-13,0.0,1033.0,NW,78.24,0,0
29.0,-13,-1.0,1033.0,NE,8.05,0,0
16.0,-13,-1.0,1032.0,NW,7.15,0,0
23.0,-15,-1.0,1032.0,NE,5.81,0,0
28.0,-14,-1.0,1033.0,NW,5.81,0,0
22.0,-15,-2.0,1033.0,NW,12.96,0,0
11.0,-16,-3.0,1034.0,NW,21.01,0,0
25.0,-17,-4.0,1035.0,NW,28.16,0,0
16.0,-19,-3.0,1036.0,NW,37.99,0,0
20.0,-18,-4.0,1037.0,NW,46.93,0,0
20.0,-19,-4.0,1038.0,NW,55.87,0,0
18.0,-19,-5.0,1038.0,NW,65.7,0,0
18.0,-20,-6.0,1038.0,NW,75.53,0,0
17.0,-20,-6.0,1038.0,NW,85.36,0,0
17.0,-20,-7.0,1038.0,NW,95.19,0,0
17.0,-22,-8.0,1038.0,NW,103.24,0,0
15.0,-23,-8.0,1038.0,NW,111.29,0,0
19.0,-24,-9.0,1038.0,NW,118.44,0,0
16.0,-24,-9.0,1038.0,NW,128.27,0,0
18.0,-25,-9.0,1038.0,NW,138.1,0,0
18.0,-25,-8.0,1039.0,NW,147.04,0,0
18.0,-25,-8.0,1039.0,NW,155.98,0,0
26.0,-22,-7.0,1039.0,NW,160.9,0,0
26.0,-22,-7.0,1038.0,NE,3.13,0,0
25.0,-22,-5.0,1037.0,NW,4.02,0,0
24.0,-21,-5.0,1035.0,NE,3.13,0,0
15.0,-21,-4.0,1034.0,SE,1.79,0,0
17.0,-20,-3.0,1034.0,NE,1.79,0,0
15.0,-21,-2.0,1033.0,NW,4.92,0,0
21.0,-20,-2.0,1033.0,NW,10.73,0,0
40.0,-20,-2.0,1034.0,NW,15.65,0,0
51.0,-19,-3.0,1034.0,NW,21.46,0,0
45.0,-19,-3.0,1035.0,NW,25.48,0,0
